"ident","type_aeroport","name","municipality","latitude_deg","longitude_deg","elevation_ft","Piste","Longueur_de_piste","Type_de_piste","Observations","wikipedia_link","fret"
"AA00","small_airport","Shump Airport","Talkeetna","62.510150","-149.926717","1670","43862","650","TURF/","","","2272"
"AA01","seaplane_base","West Beaver Seaplane Base","Big Lake","61.584961","-149.846531","215","11W-29W","3800","WATER/","","","4692"
"AA02","seaplane_base","Horseshoe Lake Seaplane Base","Big Lake","61.571481","-149.924111","140","01W-19W","5500","WATER/","","","4220"
"AA03","heliport","Central Pad Heliport","Deadhorse","70.171228","-146.258517","10","H1","80","GRVL/","","","4446"
"AA04","heliport","Viking Heliport","Anchorage","61.224775","-149.839094","72","H1","50","ASPH/","","","4983"
"AA05","small_airport","Shelby Strip","Anchorage","61.507811","-149.078481","40","45444","1104","GRVL/","","","4876"
"AA06","small_airport","Sixmile Lake Airport","Anchorage","61.289722","-149.806111","85","45444","1600","GRVL/","","","4429"
"AA07","heliport","Saddleback Island Heliport","Big Lake","61.521575","-149.927139","150","H1","50","TURF/","","","4690"
"AA11","seaplane_base","Misty Lake Seaplane Base","Wasilla","61.550739","-149.676131","350","07W-25W","1950","WATER/","","","4535"
"AA12","seaplane_base","Dove Island Lodge Seaplane Base","Sitka","57.040833","-135.295556","0","15W-33W","2500","Water/","","","4816"
"AA22","small_airport","Delta Daves Airport","Delta Junction","64.132858","-145.804494","1070","15-33","2350","TURF/","","","4870"
"AA27","heliport","Pioneer Heliport","Nuiqsut","70.414100","-150.018592","38","H1","65","ASPH/","","","4696"
"AA30","small_airport","Trio Estates Airport","Houston","61.648189","-149.870831","315","45047","1285","GRVL-G/","","","4370"
"AA33","small_airport","Gus Landing","Houston","61.604150","-149.770119","120","18-36","1700","TURF/","","","4572"
"AA35","heliport","35 Mile Lodge Heliport","Haines","59.437556","-136.229361","690","","","","","","4493"
"AA38","heliport","Nikaitchuq Operations Center Heliport","Kuparuk","70.482481","-149.853233","20","","","","","","4536"
"AA44","heliport","Barlett Regional Hospital Heliport","Juneau","58.328803","-134.460083","296","H1","55","ROOF-TOP/","","","5027"
"AA50","small_airport","Point Thomson Sea Ice Airstrip","Deadhorse","70.181144","-146.350350","0","44652","5000","ICE/","","","4827"
