date_vol;pilote_id;appareil_id;depart;destination;fuel_depart;fuel_arrivee;Payload;heure_depart;heure_arrivee;note_du_vol;mission_id;pirep_maintenance
04/11/2023;SKY7937;P2NTH;AGGH;AGGT;536;429;300;12:05:00;12:57:00;;OPPNG;;
04/11/2023;SKY1047;P2NTK;AYMH;AYKM;80;41;20;19:27:00;20:39:00;;OPPNG;RAS;
04/11/2023;SKY1047;P2NTG;AGGH;AGGN;485;290;600;21:09:00;22:47:00;;OPPNG;sortie de piste, visibilité quasi nulle, y a une grosse visite à faire;
04/11/2023;SKY0014;P2NTJ;AYMH;AYCH;224;193;75;21:13:00;21:44:00;;OPPNG;RAS ==> 1123 22:42:05 BE58 F-GNSD AYCH -0.618 m/s -122 fpm 7.1° pitch 1.757 G, Not on a runway!, good landing;
04/11/2023;SKY0707;P2NTH;AYPY;AYGN;245;132;100;21:44:00;23:18:00;;OPPNG;RAS;
05/11/2023;SKY1302;N412UM;AYPY;AYKP;603;461;960;07:03:00;07:56:00;;OPPNG;;
05/11/2023;SKY0014;P2NTJ;AYCH;AYGA;234;225;31;09:05:00;09:46:00;;OPPNG;1123 10:40:45 BE58 F-GNSD AYGA -1.494 m 21 m, Distance: 1667 ft 3 m / 0.6°, acceptable landing;
05/11/2023;SKY1302;N412UM;AYKP;AYGR;461;345;250;12:28:00;13:06:00;;OPPNG;Landed with a landing rate of -86fpm, touchdown speed 2kt, G-force 1.27g, pitch -5.65deg, bank 0.17deg;
05/11/2023;SKY1047;P2NTK;AYKM;AYMH;65;19;35;14:42:00;15:55:00;;OPPNG;Remettre des sacs à vomir;
05/11/2023;SKY2409;FDVLB;AGGH;AGGA;272;231;100;16:25:00;16:53:00;;OPPNG;Landed with a landing rate of -492fpm, touchdown speed 95kt, G-force 4.4g, pitch 0.2deg, bank 4.87deg;
06/11/2023;SKY0014;P2NTJ;AYGA;AYNZ;244;190;19;06:50:00;07:36:00;;OPPNG;Inspection coup de foudre necessaire - 1123 08:32:09 BE58 F-GNSD AYNZ -0.294 m 7 m, Distance: 1595 ft 4 m / 0.3°, excellent landing;
06/11/2023;SKY3434;N36644;AGGY;AGGH;1122;961;534;11:55:00;12:47:00;;OPPNG;;
06/11/2023;SKY7937;P2NTH;AGGT;AGGH;429;354;75;12:00:00;12:55:00;;OPPNG;;
06/11/2023;SKY3434;N36644;AGGH;AGGF;961;688;200;13:00:00;13:47:00;;OPPNG;;
06/11/2023;SKY0014;P2NTJ;AYNZ;AYPY;324;221;80;20:15:00;21:41:00;;OPPNG;RAS 1123 22:34:47 BE58 F-GNSD AYPY -0.309 m 14 m, Distance: 1260 ft -2 m / 1.4°, excellent landing;
06/11/2023;SKY1302;N412UM;AYGR;AYTU;675;501;500;20:28:00;21:13:00;;OPPNG;Landed with a landing rate of -152fpm, touchdown speed 2kt, G-force 0.85g, pitch -1.2deg, bank -0.82deg;
06/11/2023;SKY1047;P2NTE;AGGH;AGGA;136;87;55;21:18:00;22:03:00;;OPPNG;RAS;
06/11/2023;SKY0707;P2NTH;AYGN;AYGR;218;138;100;21:51:00;22:56:00;;OPPNG;RAS;
07/11/2023;SKY0014;P2NTJ;AYPY;AYKP;221;204;50;08:00:00;08:39:00;;OPPNG;ATT DUR Inspection à faire : RAS - 1123 09:35:39 BE58 F-GNSD AYKP -1.879 m 12 m, Distance: 550 ft -16 m / 2.1°, hard landing;
07/11/2023;SKY7937;P2NTM;AGGH;AGGV;868;244;274;12:00:00;12:40:00;;OPPNG;;
07/11/2023;SKY3434;N36644;AGGF;AGGM;688;415;1000;22:19:00;23:35:00;;OPPNG;Atterrissage raide, vérifier le train.;
08/11/2023;SKY2409;FDVLB;AGGA;AGGP;231;180;100;09:00:00;09:44:00;;OPPNG;Landed with a landing rate of -651fpm, touchdown speed 86kt, G-force 0.72g, pitch -9.84deg, bank -0.58deg;
08/11/2023;SKY1047;P2NTE;AGGA;AGGH;87;46;20;15:25:00;16:02:00;;OPPNG;RAS;
08/11/2023;SKY3434;N36644;AGGM;AGGN;1122;1041;1050;18:35:00;18:55:00;;OPPNG;;
08/11/2023;SKY3434;N36644;AGGN;AYIQ;1041;693;1133;19:00:00;20:10:00;;OPPNG;;
