C-FWQY;01/01/2023;8 470,76;20;2;4 457 842,19;668 676,33;3 789 165,86;;0;
C-PLTS;01/01/2025;24 046,07;;;800 000;0;800 000;;0;
CFLPN;01/01/2024;25 591,51;20;2;1 188 757,92;118 875,79;1 069 882,13;800 000;800 000;23/01/2025
D-EFMD;01/01/2024;1 240,36;20;2;193 173,16;19 317,32;173 855,85;;0;
D-HOAE;24/12/2023;-250,40;1;1;2 525 000;2 525 000;0;2 000 000;2 000 000;13/05/2024
ER-SKY;01/01/2024;25 323 212,08;10;2;121 899 442;24 379 888,40;97 519 553,60;;0;
EZ090;25/12/2023;26 444,87;1;1;1 010 000;1 010 000;0;800 000;800 000;05/05/2024
F-AHRV;01/01/2024;46 425,15;20;2;2 377 515,83;237 751,58;2 139 764,25;;0;
F-AZTE;01/01/2025;0;20;2;1 485 947,40;74 297,37;1 411 650,03;;0;
F-BTLE;24/12/2023;-95,13;1;1;2 525 000;2 525 000;0;2 300 000;2 300 000;29/05/2024
F-BXSS;01/10/2024;10 214 796,88;20;2;297 189 479,20;29 718 947,92;267 470 531,28;;0;
F-CRLT;01/01/2024;13 491,71;1;1;656 500;656 500;0;600 000;600 000;23/01/2025
F-CVBF;01/01/2024;2 037 771,06;1;1;151 500 000;151 500 000;0;145 000 000;145 000 000;20/01/2025
F-DVL1;01/01/2024;-4 899,60;1;1;85 850 000;85 850 000;0;84 000 000;84 000 000;05/05/2024
F-DVL2;24/12/2023;194 870,78;12;2;570 708,81;142 677,20;428 031,61;;0;
F-FUFU;01/01/2024;-122 315,49;20;2;2 377 515,83;237 751,58;2 139 764,25;;0;
F-GCQL;01/01/2024;635 255,70;20;2;1 783 136,88;178 313,69;1 604 823,19;;0;
F-GDRU;01/01/2023;0;1;1;454 500;454 500;0;115 000;115 000;13/05/2024
F-GJZR;01/01/2024;-19 032,76;20;2;742 973,70;74 297,37;668 676,33;;0;
F-GLBA;01/01/2025;0;20;2;1 188 757,92;59 437,90;1 129 320,02;;0;
F-GLZN;06/05/2024;185 399 478,30;20;2;386 346 322,95;38 634 632,30;347 711 690,66;;0;
F-GMAM;01/01/2024;107 232,47;20;2;222 892,11;22 289,21;200 602,90;;0;
F-GNEO;01/01/2025;10 887 821,83;20;2;126 305 528,66;6 315 276,43;119 990 252,23;;0;
F-GNSS;28/12/2023;603 938,88;20;2;2 377 515,83;356 627,38;2 020 888,46;;0;
F-GOPG;01/01/2024;19 567,85;20;2;1 485 947,40;148 594,74;1 337 352,66;;0;
F-GOVF;01/01/2024;16 242 126,88;20;2;118 875 791,68;11 887 579,17;106 988 212,51;;0;
F-GPAG;01/01/2024;373 195,89;20;2;400 462,82;40 046,28;360 416,54;;0;
F-GPAP;01/01/2024;38 971,54;20;2;193 173,16;19 317,32;173 855,85;;0;
F-GRHU;25/12/2023;5 205 698,14;20;2;148 594 739,60;22 289 210,94;126 305 528,66;;0;
F-GSFC;01/01/2025;49 094,66;20;2;668 676,33;33 433,82;635 242,51;;0;
F-GTAZ;05/05/2024;23 164 407,99;20;2;297 189 479,20;29 718 947,92;267 470 531,28;;0;
F-GVHR;01/01/2024;14 773,93;20;2;222 892,11;22 289,21;200 602,90;;0;
F-GZCN;01/01/2024;13 728 064,33;20;2;371 486 848,99;37 148 684,90;334 338 164,10;;0;
F-HBGD;30/12/2023;5 195,98;1;1;808 000;808 000;0;750 000;750 000;05/05/2024
F-HBNK;01/01/2024;8 305 409,49;20;2;178 313 687,52;17 831 368,75;160 482 318,77;;0;
F-HDMD;01/01/2024;14 822,35;20;2;2 377 515,83;237 751,58;2 139 764,25;;0;
F-HFTY;01/01/2024;2 291,99;20;2;594 378,96;59 437,90;534 941,06;;0;
F-HGCO;27/12/2023;182 763,15;10;2;548 547,49;164 564,25;383 983,24;;0;
F-HMRE;01/01/2024;3 422,71;1;1;3 030 000;3 030 000;0;2 700 000;2 700 000;29/05/2024
F-HXBV;30/12/2023;27 923,36;20;2;297 189,48;44 578,42;252 611,06;;0;
F-HYBN;01/01/2024;21 514 988,67;20;2;222 892 109,40;22 289 210,94;200 602 898,46;;0;
F-HYGA;01/01/2023;0;1;1;656 500;656 500;0;500 000;500 000;05/05/2024
F-HYPE;01/01/2023;0;1;1;3 030 000;3 030 000;0;2 800 000;2 800 000;29/05/2024
F-MHTE;01/01/2024;387 571,19;20;2;965 865,81;96 586,58;869 279,23;;0;
F-OMYR;01/01/2024;83 864,01;20;2;4 903 626,41;490 362,64;4 413 263,77;;0;
F-TMCG;01/01/2024;17 759 974,78;20;2;222 892 109,40;22 289 210,94;200 602 898,46;;0;
F-TMCH;01/01/2024;2 191 045,44;20;2;247 022 409,16;24 702 240,92;222 320 168,24;;0;
F-WWKD;01/01/2024;63 658 069,25;20;2;371 486 848,99;37 148 684,90;334 338 164,10;;0;
F-WZWZ;01/01/2024;7 987 151,29;20;2;416 065 270,87;41 606 527,09;374 458 743,79;;0;
F2DVL;01/01/2023;4 712,67;20;2;668 676,33;100 301,45;568 374,88;;0;
FDVLB;01/01/2023;222 577,53;20;2;2 377 515,83;356 627,38;2 020 888,46;;0;
G-FFHO;01/01/2024;135 041,14;20;2;965 865,81;96 586,58;869 279,23;;0;
HB-HYPE;01/01/2023;-260,18;1;1;2 525 000;2 525 000;0;2 300 000;2 300 000;23/01/2025
HB-VDH;01/01/2023;15 262,86;20;2;1 634 542,14;245 181,32;1 389 360,82;;0;
I-KORE;01/01/2024;-431,23;1;2;2 040 000;2 040 000;0;1 700 000;1 700 000;23/01/2025
LOC-Corsair;01/01/2025;-5 933,47;;;30 000;0;30 000;;0;
N123EA;06/05/2024;219,26;1;1;5 050 000;5 050 000;0;4 900 000;4 900 000;20/01/2025
N172SP;01/01/2023;32 206,21;20;2;222 892,11;33 433,82;189 458,29;;0;
N314HA;01/01/2025;-18 854,12;;;800 000;0;800 000;;0;
N32FD;01/01/2024;-12 297,87;20;2;668 676,33;66 867,63;601 808,70;;0;
N36644;01/01/2023;1 453 395,99;4;2;1 082 432,16;811 824,12;270 608,04;;0;
N412UM;01/01/2023;3 159,35;1;1;808 000;808 000;0;650 000;650 000;23/01/2025
N45XS;01/01/2023;23 284,49;20;2;2 377 515,83;356 627,38;2 020 888,46;;0;
N491KQ;01/01/2023;18 024,31;1;1;1 010 000;1 010 000;0;850 000;850 000;20/01/2025
N6060X;01/01/2024;4 813,36;20;2;1 634 542,14;163 454,21;1 471 087,92;;0;
N7078X;05/09/2024;14 482,12;20;2;1 188 757,92;118 875,79;1 069 882,13;;0;
N8029B;01/01/2024;1 308,74;20;2;1 337 352,66;133 735,27;1 203 617,39;;0;
N8351P;01/01/2023;3 488,44;20;2;297 189,48;44 578,42;252 611,06;;0;
N972AE;01/01/2023;21 579,05;20;2;2 971 894,79;445 784,22;2 526 110,57;;0;
N985R;01/01/2025;12 541,70;20;2;631 527,64;31 576,38;599 951,26;;0;
OK-PRW;01/01/2025;56 861,72;20;2;222 892,11;11 144,61;211 747,50;;0;
P2NTA;01/01/2023;0;1;1;454 500;454 500;0;250 000;250 000;05/05/2024
P2NTB;01/01/2023;18 202,28;20;2;891 568,44;133 735,27;757 833,17;;0;
P2NTC;01/01/2023;7 618,89;20;2;1 485 947,40;222 892,11;1 263 055,29;;0;
P2NTD;01/01/2023;0;1;1;2 020 000;2 020 000;0;1 700 000;1 700 000;23/01/2025
P2NTE;01/01/2023;-363,10;20;2;965 865,81;144 879,87;820 985,94;;0;
P2NTF;01/01/2023;40 585,73;20;2;1 485 947,40;222 892,11;1 263 055,29;;0;
P2NTG;01/01/2023;485 282,92;20;2;1 485 947,40;222 892,11;1 263 055,29;;0;
P2NTH;01/01/2023;3 740,14;1;1;1 616 000;1 616 000;0;1 400 000;1 400 000;20/01/2025
P2NTI;01/01/2023;17 466,78;20;2;668 676,33;100 301,45;568 374,88;;0;
P2NTJ;01/01/2023;166 241,18;20;2;2 377 515,83;356 627,38;2 020 888,46;;0;
P2NTK;01/01/2023;105 267,42;20;2;2 377 515,83;356 627,38;2 020 888,46;;0;
P2NTL;01/01/2023;28 322,40;20;2;1 783 136,88;267 470,53;1 515 666,34;;0;
P2NTM;01/01/2023;49 075,29;20;2;2 971 894,79;445 784,22;2 526 110,57;;0;
P2NTN;01/01/2023;-8 036,57;20;2;742 973,70;111 446,05;631 527,64;;0;
P2NTO;01/01/2023;1 675 191,64;20;2;178 313 687,52;26 747 053,13;151 566 634,39;;0;
P2NTP;01/01/2023;25 887 155,26;20;2;222 892 109,40;33 433 816,41;189 458 292,99;;0;
P2NTQ;01/01/2023;9 633,86;1;1;101 000 000;101 000 000;0;80 000 000;80 000 000;20/01/2025
P2NTR;01/01/2023;69 342,45;20;2;1 634 542,14;245 181,32;1 389 360,82;;0;
P2NTS;01/01/2023;21 529 308,40;20;2;178 313 687,52;26 747 053,13;151 566 634,39;;0;
P2NTT;01/01/2023;4 199 830,16;1;2;1 224 000;1 224 000;0;;0;
PR-ABK;01/01/2024;6 794,92;1;2;5 100 000;5 100 000;0;4 900 000;4 900 000;20/01/2025
PR-ZGT;01/01/2024;55 924,35;20;2;7 429 736,98;742 973,70;6 686 763,28;;0;
SP-TUT;01/01/2024;238,39;20;2;371 486,85;37 148,68;334 338,16;;0;
VH-HMV;01/01/2024;39 016,41;20;2;2 377 515,83;237 751,58;2 139 764,25;;0;
